,id,intruder,is_control_task,model,text,word1,word2,word3,word4,word5
0,216476946,axiomatized,,LDA_10,b8a169d3-51b4-4265-85f1-fee2cd654a6e,use,model,social,science,axiomatized
1,216476947,microcanonical,,LDA_54,7f5d1600-8187-4cb5-8255-c785761b52e7,population,selection,gene,microcanonical,fitness
2,216476948,octopus,True,CONTROL,e658b95q-7r89-0123-no45-pq67rs890123,doctor,nurse,teacher,engineer,octopus
3,216476949,critique,,LDA_10,e58124d3-eeb8-4971-b0fe-92f11b5b4de9,sentence,true,critique,truth,language
4,216476950,garment,,NMF_50,9b6635eb-43ef-492a-9cb5-ea5cfe5aaf18,species,garment,organism,specie,taxon
5,216476951,scholarly,,CFMF_10,969c7b9e-11c1-4427-acdd-c14663723cc2,scholarly,predicate,quine,language,sentence
6,216476952,lettuce,True,CONTROL,a214751m-3n45-6789-jk01-lm23no456789,python,java,c++,ruby,lettuce
7,216476953,consequence,,Top2Vec_25,288d2879-9773-4b59-875a-8f086f4bb278,society,consequence,mankind,civilization,lundberg
8,216476954,thermodynamics,,CFMF-emb_51,dc7b1547-bd17-4857-afc7-a761a6249edd,sign,sentence,language,meaning,thermodynamics
9,216476955,contrary,,Top2Vec_10,ae788dd8-03d8-443d-aea1-4f7834472d0e,justification,justified,reliabilist,contrary,pryor
10,216476956,bile,,NMF_25,a13b3e5c-7087-4b11-8b40-54094e86b5f5,bile,beauty,bet,credence,chance
11,216476957,stich,,CFMF-emb_10,84f3d373-4de8-4b7a-96dc-fafe7c7efb0c,organism,gene,selection,stich,population
12,216476958,variance,,Top2Vec_25,0c3ea03e-85b0-4c3b-aefc-d9fccd114495,descartes,variance,seventeenth,newton,mathematicall
13,216476959,apologist,,Top2Vec_48,7d597f09-e423-4745-af1f-a2416d0a045b,apologist,microstate,thermodynamic,microstates,entropy
14,216476960,algorithm,,CFMF-emb_51,dd60ece6-a01e-46bf-be59-aa655a209c1d,algorithm,newton,body,kant,motion
15,216476961,frisch,,LDA_10,50f1dafa-4e01-41a3-b2cc-56065f7f1891,frisch,probability,value,give,case
16,216476962,berg,,LDA_54,f8b771cc-e66f-4a21-9c20-161ce2123447,berg,speaker,context,sentence,utterance
17,216476963,homogenous,,Top2Vec_48,8558dc30-367b-469f-b569-39e63f7ec4d7,homogenous,quantifier,sentence,frege,tarski
18,216476964,commentator,,CFMF_25,16bb831c-ae5f-4792-b71f-e96df388751f,model,commentator,law,explanation,reduction
19,216476965,deform,,NMF_10,51b9c36a-d02f-496f-bcf4-1eab9a0ade4b,distribution,probability,value,frequency,deform
20,216476966,thatf,,NMF_50,4420a145-9ff8-4317-b2d5-c3c3682d7277,representation,thatf,cognitive,system,mechanism
21,216476967,neopositivism,,BERTopic_10,057e261b-097f-444a-a780-f4764d2f1832,motion,newton,galileo,neopositivism,body
22,216476968,phonological,,CFMF-emb_24,be5bbbf9-c848-438e-be10-d74aeb96e47e,formula,phonological,sentence,predicate,logic
23,216476969,sations,,LDA_54,ab698ec3-406e-4c10-a72b-387fd8d37fbc,behavior,sations,state,mental,psychological
24,216476970,proce,,LDA_54,98fe0162-2191-4101-819f-5fd83c59c677,normal,patient,disease,effect,proce
25,216476971,hammer,True,CONTROL,c436973o-5p67-8901-lm23-no45pq678901,shirt,jacket,pants,shoes,hammer
26,216476972,speaker,,LDA_25,df0d7cbb-c126-4f41-82ec-90edf3ee8646,model,explanation,explain,speaker,account
27,216476973,lucidly,,BERTopic_10,59af7d3f-ca7c-49b3-a25b-42c1f080f241,evidence,probability,hypothesis,case,lucidly
28,216476974,sellars,,CFMF_10,deccd331-4e9b-4264-ae13-d2b7326b22fd,sellars,kuhn,scientific,science,popper
29,216476975,phosphorus,,BERTopic_10,bcd5bcdc-2ea7-4006-95aa-5e9afb69f32a,time,point,phosphorus,theory,space
30,216476976,disc,,CFMF-emb_10,a0ed8c40-6a20-4a0e-9ecc-a45be8502c26,proof,mathematics,axiom,logic,disc
31,216476977,banana,True,CONTROL,1a3b9d2e-4f56-7890-ab12-cd34ef567890,dog,cat,horse,cow,banana
32,216476978,doppler,,CFMF_25,bd09a03f-14cc-4350-bbf7-4b71963f72ce,doppler,society,scientific,science,social
33,216476979,stipulate,,NMF_25,e9e4f930-fde6-4356-b745-6a3db4c990b6,theory,realist,stipulate,scientific,realism
34,216476980,sps,,LDA_54,6552589f-26f2-45c7-b172-c3bccde2fa05,action,agent,reason,sps,moral
35,216476981,janis,,NMF_50,a4f80e1b-8cd2-4659-bc90-b2413a5b0cc6,logical,formula,modal,logic,janis
36,216476982,ellis,,CFMF_10,78398ba9-358d-4511-bf4f-8aee0b48001e,causal,brain,ellis,mental,causation
37,216476983,pdz,,LDA_25,012b2232-c53e-4e72-b16c-d08c9d9aa788,selection,population,pdz,evolutionary,gene
38,216476984,semiotic,,CFMF_50,596b7bc9-c8ec-4666-a87c-d71a706f5fba,science,semiotic,society,social,culture
39,216476985,greenberg,,NMF_25,6ee9d999-31d3-4a82-80ac-774b1c9e1a3c,truth,predicate,greenberg,true,sentence
40,216476986,scholarly,,CFMF_50,92938f25-d854-4e46-8d39-5b2b895509cd,sentence,predicate,meaning,language,scholarly
41,216476987,dualists,,Top2Vec_25,af6bbb1a-b615-473a-9e6c-5003640c1c06,bisimilar,gerbrandy,ditmarsch,baltag,dualists
42,216476988,cru,,NMF_50,54391e93-7b05-46f3-8948-7ecb169e0bf1,kant,cru,priori,concept,transcendental
43,216476989,dauer,,LDA_25,8d40c1fe-1b14-4b26-baf8-5ed919a172e4,space,point,dauer,theory,time
44,216476990,gdr,,BERTopic_10,3c646ba7-e9e0-47d7-9aab-ff89cb249f59,population,gdr,selection,gene,organism
45,216476991,morphogenetic,,NMF_50,e1336fb1-a805-4ab0-a4ba-804aa9951dfc,energy,morphogenetic,particle,wave,field
46,216476992,correspondence,,Top2Vec_48,e62e8278-54c0-46f9-9a4b-5a959fee9eea,sender,payoff,correspondence,replicator,huttegger
47,216476993,benzene,,LDA_10,259371f6-60ff-4644-a2d6-456e00ffc63b,science,benzene,theory,scientific,explanation
48,216476994,desirability,,Top2Vec_25,7173d8fc-9f85-4979-8626-8107027411f1,nonreductive,physicalist,realizer,kim,desirability
49,216476995,enlightenment,,CFMF_50,02ce74dc-3465-44aa-939b-3727a2f1a34a,sentence,speaker,enlightenment,utterance,indexical
50,216476996,abcd,,NMF_50,5f6a5c8b-174f-4c59-9694-04466a44b5c7,abcd,proposition,russell,truth,true
