,id,intruder,is_control_task,model,text,word1,word2,word3,word4,word5
0,216476683,mushroom,,LDA_54,88e0cb81-c66c-4877-815c-cd0baac435d0,paradox,conditional,condition,case,mushroom
1,216476684,mchugh,,BERTopic_25,b2eba100-be47-4b8e-8377-997b38abcaa2,theory,mchugh,science,research,scientific
2,216476685,commutativity,,NMF_50,154ac909-ee95-4118-9460-c6dac2236fb5,model,climate,commutativity,target,simulation
3,216476686,prague,,CFMF_25,e3acfbb7-c21c-4095-9674-34fc44d0cdb6,perception,perceptual,prague,color,visual
4,216476687,antiquarian,,Top2Vec_25,574f789e-e312-4a95-b471-e850b02abb66,spacetime,inertial,relativistic,antiquarian,relativity
5,216476688,appropriately,,Top2Vec_48,ffd99976-d0ab-4c30-884c-8c00ee0c6266,appropriately,truthlike,verisimilitude,truthlikeness,niiniluoto
6,216476689,chinese,,CFMF-emb_24,0c208712-1aae-4903-b194-4ed30fa98fac,chinese,population,fitness,gene,selection
7,216476690,nudge,,CFMF_50,b4e639a0-791b-46c5-8a62-dd33759efa50,laudan,lakatos,science,nudge,rationality
8,216476691,fitness,,Top2Vec_48,cdb22ddd-7e8a-47c9-9de7-986f005e2d6c,eigenstate,quantum,superposition,fitness,eigenstates
9,216476692,burgess,,CFMF-emb_51,80a03b9e-5e32-4a7a-a88b-ff8adaf2675c,burgess,player,game,preference,payoff
10,216476693,archaeology,,CFMF_10,fc9e8d83-ae2e-4273-b5dd-3f52a28c8271,logic,archaeology,axiom,proof,mathematics
11,216476694,verify,,Top2Vec_48,eb760e43-e96f-40ef-99b2-8d9b70a13339,verify,trst,supertask,supertasks,laraudogoitia
12,216476695,intestinal,,Top2Vec_10,0f95ca92-6fd9-4f5c-a89a-5a3ad30deebc,tarski,quantifier,semantics,provable,intestinal
13,216476696,vegetation,,CFMF_10,63a9ebd2-33b5-498f-bfe6-d14be8eacd17,society,vegetation,social,science,scientific
14,216476697,perplexity,,BERTopic_25,d51b41f7-d958-4392-aaf8-4ef472c6a9ac,measurement,perplexity,quantity,scale,measure
15,216476698,dielectric,,CFMF_25,58a71f29-b22f-4985-aad7-026e66aabbe9,miller,dielectric,popper,lakatos,verisimilitude
