,id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
0,216871362,,kant<br>motion<br><b>descartes</b><br>newton<br><b>leibniz</b><br><b>god</b><br><b>force</b><br>body,[5],"['newton', 'motion', 'body', 'kant', 'force', 'descartes', 'leibniz', 'god']",-1,1.0,single,"['newton', 'motion', 'body', 'kant']","['force', 'descartes', 'leibniz', 'god']",CFMF-emb_51
1,216871363,,rationality<br><b>science</b><br>laudan<br><b>scientific</b><br><b>social</b><br>duhem<br><b>society</b><br>whewell,"[0, 4]","['social', 'science', 'society', 'scientific', 'laudan', 'duhem', 'whewell', 'rationality']",0,0.6970136165618896,mix_0_4_closest,"['social', 'science', 'society', 'scientific']","['laudan', 'duhem', 'whewell', 'rationality']",CFMF_25
2,216871364,,<b>feyerabend</b><br>revolution<br><b>incommensurability</b><br><b>kuhn</b><br>scientific<br>scientist<br>science<br><b>paradigm</b>,[7],"['kuhn', 'feyerabend', 'incommensurability', 'paradigm', 'revolution', 'scientific', 'science', 'scientist']",-1,1.0,single,"['kuhn', 'feyerabend', 'incommensurability', 'paradigm']","['revolution', 'scientific', 'science', 'scientist']",CFMF_25
3,216871365,,<b>temperature</b><br><b>energy</b><br>quantity<br><b>gas</b><br>force<br>heat<br><b>law</b><br>entropy,[12],"['law', 'energy', 'temperature', 'gas', 'entropy', 'force', 'heat', 'quantity']",-1,1.0,single,"['law', 'energy', 'temperature', 'gas']","['entropy', 'force', 'heat', 'quantity']",LDA_54
4,216871366,,<b>number</b><br><b>calibration</b><br><b>numerical</b><br>measure<br>measurement<br>quantity<br><b>relation</b><br>scale,[22],"['measurement', 'scale', 'measure', 'quantity', 'calibration', 'number', 'relation', 'numerical']",-1,1.0,single,"['measurement', 'scale', 'measure', 'quantity']","['calibration', 'number', 'relation', 'numerical']",BERTopic_25
5,216871367,,<b>time</b><br><b>space</b><br>body<br>galileo<br><b>relativity</b><br><b>theory</b><br>newton<br>motion,"[6, 9]","['time', 'space', 'theory', 'relativity', 'newton', 'motion', 'galileo', 'body']",0,0.8049678206443787,mix_6_9_closest,"['time', 'space', 'theory', 'relativity']","['newton', 'motion', 'galileo', 'body']",BERTopic_25
6,216871368,,payoff<br><b>argument</b><br>equilibrium<br><b>question</b><br>strategy<br><b>game</b><br><b>dialogue</b><br>player,"[31, 22]","['game', 'dialogue', 'question', 'argument', 'player', 'payoff', 'strategy', 'equilibrium']",0,0.7540963888168335,mix_31_22_closest,"['game', 'dialogue', 'question', 'argument']","['player', 'payoff', 'strategy', 'equilibrium']",BERTopic_54
7,216871369,,<b>proposition</b><br><b>russell</b><br>relation<br>substance<br><b>truth</b><br>identity<br><b>true</b><br>trope,"[36, 15]","['trope', 'relation', 'substance', 'identity', 'proposition', 'truth', 'true', 'russell']",0,0.774459719657898,mix_36_15_closest,"['trope', 'relation', 'substance', 'identity']","['proposition', 'truth', 'true', 'russell']",NMF_50
8,216871370,,<b>system</b><br><b>entropy</b><br>thermodynamic<br>energy<br><b>state</b><br>macrostate<br>gas<br><b>equilibrium</b>,[32],"['system', 'entropy', 'equilibrium', 'state', 'energy', 'thermodynamic', 'gas', 'macrostate']",-1,1.0,single,"['system', 'entropy', 'equilibrium', 'state']","['energy', 'thermodynamic', 'gas', 'macrostate']",NMF_50
9,216871371,,<b>dispositional</b><br><b>dispositionality</b><br><b>mumford</b><br>finkish<br>manifestation<br>dispositionalists<br>fragility<br><b>disposition</b>,[42],"['dispositional', 'mumford', 'disposition', 'dispositionality', 'manifestation', 'fragility', 'dispositionalists', 'finkish']",-1,1.0,single,"['dispositional', 'mumford', 'disposition', 'dispositionality']","['manifestation', 'fragility', 'dispositionalists', 'finkish']",Top2Vec_48
10,216871372,,<b>science</b><br>object<br><b>scientific</b><br><b>social</b><br>experience<br>concept<br>knowledge<br><b>research</b>,"[24, 20]","['science', 'social', 'scientific', 'research', 'concept', 'knowledge', 'experience', 'object']",0,0.7223883271217346,mix_24_20_closest,"['science', 'social', 'scientific', 'research']","['concept', 'knowledge', 'experience', 'object']",LDA_25
11,216871373,,<b>semantic</b><br>speaker<br>utterance<br><b>token</b><br><b>indexicals</b><br>sentence<br><b>utter</b><br>indexical,[44],"['utterance', 'speaker', 'sentence', 'indexical', 'utter', 'token', 'semantic', 'indexicals']",-1,1.0,single,"['utterance', 'speaker', 'sentence', 'indexical']","['utter', 'token', 'semantic', 'indexicals']",CFMF_50
12,216871374,,causal<br>explanans<br><b>explanandum</b><br>law<br><b>hempel</b><br>unification<br><b>explanatory</b><br><b>explanation</b>,[27],"['explanation', 'hempel', 'explanatory', 'explanandum', 'law', 'explanans', 'causal', 'unification']",-1,1.0,single,"['explanation', 'hempel', 'explanatory', 'explanandum']","['law', 'explanans', 'causal', 'unification']",CFMF_50
13,216871375,,<b>time</b><br><b>theory</b><br>state<br>quantum<br><b>system</b><br>physical<br><b>space</b><br>particle,[4],"['time', 'theory', 'system', 'space', 'state', 'quantum', 'physical', 'particle']",-1,1.0,single,"['time', 'theory', 'system', 'space']","['state', 'quantum', 'physical', 'particle']",LDA_10
14,216871376,,game<br>player<br><b>reason</b><br>strategy<br><b>signal</b><br>moral<br><b>agent</b><br><b>equilibrium</b>,[9],"['game', 'moral', 'player', 'strategy', 'agent', 'equilibrium', 'reason', 'signal']",-1,1.0,single,"['game', 'moral', 'player', 'strategy']","['agent', 'equilibrium', 'reason', 'signal']",BERTopic_10
15,216871377,,<b>kind</b><br>fitness<br><b>specie</b><br>evolutionary<br>selection<br><b>species</b><br>population<br><b>taxon</b>,"[6, 21]","['selection', 'population', 'fitness', 'evolutionary', 'specie', 'species', 'taxon', 'kind']",0,0.7484216690063477,mix_6_21_closest,"['selection', 'population', 'fitness', 'evolutionary']","['specie', 'species', 'taxon', 'kind']",BERTopic_54
16,216871378,,<b>mental</b><br><b>state</b><br>use<br><b>object</b><br>science<br>scientific<br><b>property</b><br>theory,"[2, 0]","['property', 'state', 'mental', 'object', 'theory', 'science', 'scientific', 'use']",0,0.7980727553367615,mix_2_0_closest,"['property', 'state', 'mental', 'object']","['theory', 'science', 'scientific', 'use']",BERTopic_10
17,216871379,,<b>knowledge</b><br>justification<br><b>know</b><br><b>belief</b><br>true<br>evidence<br>case<br><b>epistemic</b>,[7],"['belief', 'knowledge', 'know', 'epistemic', 'justification', 'true', 'case', 'evidence']",-1,1.0,single,"['belief', 'knowledge', 'know', 'epistemic']","['justification', 'true', 'case', 'evidence']",BERTopic_25
18,216871380,,<b>patient</b><br><b>disease</b><br>case<br>study<br><b>normal</b><br>treatment<br>medical<br><b>effect</b>,[1],"['patient', 'disease', 'effect', 'normal', 'treatment', 'study', 'case', 'medical']",-1,1.0,single,"['patient', 'disease', 'effect', 'normal']","['treatment', 'study', 'case', 'medical']",LDA_54
19,216871381,,<b>local</b><br>gauge<br>symmetry<br><b>group</b><br><b>invariance</b><br>field<br><b>transformation</b><br>higgs,[44],"['symmetry', 'gauge', 'field', 'higgs', 'transformation', 'group', 'local', 'invariance']",-1,1.0,single,"['symmetry', 'gauge', 'field', 'higgs']","['transformation', 'group', 'local', 'invariance']",NMF_50
20,216871382,,<b>cartwright</b><br><b>woodward</b><br>causal<br>spirtes<br><b>intervention</b><br>scheines<br><b>interventionist</b><br>judea,[4],"['cartwright', 'woodward', 'intervention', 'interventionist', 'causal', 'spirtes', 'scheines', 'judea']",-1,1.0,single,"['cartwright', 'woodward', 'intervention', 'interventionist']","['causal', 'spirtes', 'scheines', 'judea']",Top2Vec_10
21,216871383,,time<br><b>spacetime</b><br>infinite<br>particle<br>velocity<br><b>field</b><br><b>space</b><br><b>relativity</b>,"[49, 13]","['particle', 'infinite', 'velocity', 'time', 'space', 'spacetime', 'field', 'relativity']",0,0.7663735151290894,mix_49_13_closest,"['particle', 'infinite', 'velocity', 'time']","['space', 'spacetime', 'field', 'relativity']",BERTopic_54
22,216871384,,<b>mechanic</b><br><b>measurement</b><br>wave<br>operator<br>spin<br><b>quantum</b><br><b>particle</b><br>observables,[24],"['quantum', 'measurement', 'particle', 'mechanic', 'spin', 'operator', 'wave', 'observables']",-1,1.0,single,"['quantum', 'measurement', 'particle', 'mechanic']","['spin', 'operator', 'wave', 'observables']",CFMF_25
23,216871385,,micro<br><b>gene</b><br><b>level</b><br>emergent<br><b>molecular</b><br><b>reductionism</b><br>reduction<br>emergence,[15],"['reduction', 'emergence', 'emergent', 'micro', 'molecular', 'reductionism', 'gene', 'level']",-1,1.0,single,"['reduction', 'emergence', 'emergent', 'micro']","['molecular', 'reductionism', 'gene', 'level']",CFMF-emb_51
24,216871386,,energy<br><b>quantum</b><br>electron<br><b>particle</b><br><b>gauge</b><br>wave<br>bohr<br><b>symmetry</b>,"[4, 2]","['particle', 'symmetry', 'gauge', 'quantum', 'energy', 'wave', 'bohr', 'electron']",0,0.7748003005981445,mix_4_2_closest,"['particle', 'symmetry', 'gauge', 'quantum']","['energy', 'wave', 'bohr', 'electron']",CFMF_50
25,216871387,,probability<br><b>hypothesis</b><br>propensity<br><b>inductive</b><br><b>carnap</b><br><b>sample</b><br>frequency<br>event,"[11, 48]","['probability', 'frequency', 'propensity', 'event', 'inductive', 'hypothesis', 'carnap', 'sample']",0,0.7688924074172974,mix_11_48_closest,"['probability', 'frequency', 'propensity', 'event']","['inductive', 'hypothesis', 'carnap', 'sample']",BERTopic_54
26,216871388,,computing<br><b>fagin</b><br>machine<br><b>gerbrandy</b><br>turing<br><b>benthem</b><br><b>ditmarsch</b><br>computer,"[15, 16]","['turing', 'machine', 'computer', 'computing', 'ditmarsch', 'benthem', 'gerbrandy', 'fagin']",0,0.7073642015457153,mix_15_16_closest,"['turing', 'machine', 'computer', 'computing']","['ditmarsch', 'benthem', 'gerbrandy', 'fagin']",Top2Vec_48
27,216871389,,<b>modal</b><br><b>formula</b><br><b>proposition</b><br>mathematics<br><b>logic</b><br>proof<br>axiom<br>mathematical,"[21, 12]","['mathematics', 'mathematical', 'axiom', 'proof', 'logic', 'modal', 'proposition', 'formula']",0,0.8319962024688721,mix_21_12_closest,"['mathematics', 'mathematical', 'axiom', 'proof']","['logic', 'modal', 'proposition', 'formula']",CFMF_50
28,216871390,,gene<br>organism<br><b>trait</b><br>population<br><b>biological</b><br>selection<br><b>fitness</b><br><b>evolutionary</b>,[9],"['gene', 'selection', 'organism', 'population', 'fitness', 'evolutionary', 'trait', 'biological']",-1,1.0,single,"['gene', 'selection', 'organism', 'population']","['fitness', 'evolutionary', 'trait', 'biological']",CFMF_10
29,216871392,,biology<br><b>protein</b><br><b>process</b><br>organism<br><b>system</b><br><b>biological</b><br>cell<br>life,[15],"['cell', 'life', 'organism', 'biology', 'system', 'biological', 'protein', 'process']",-1,1.0,single,"['cell', 'life', 'organism', 'biology']","['system', 'biological', 'protein', 'process']",BERTopic_54
30,216871393,,statement<br>law<br>regularity<br><b>realism</b><br><b>scientific</b><br><b>realist</b><br>system<br><b>theory</b>,"[14, 4]","['law', 'system', 'statement', 'regularity', 'theory', 'realist', 'scientific', 'realism']",0,0.7450006008148193,mix_14_4_closest,"['law', 'system', 'statement', 'regularity']","['theory', 'realist', 'scientific', 'realism']",NMF_25
31,216871394,,past<br><b>velocity</b><br><b>clock</b><br><b>simultaneity</b><br>temporal<br><b>light</b><br>event<br>time,"[30, 35]","['time', 'event', 'past', 'temporal', 'clock', 'velocity', 'light', 'simultaneity']",0,0.7849959135055542,mix_30_35_closest,"['time', 'event', 'past', 'temporal']","['clock', 'velocity', 'light', 'simultaneity']",BERTopic_54
32,216871395,,<b>belief</b><br>kant<br>experience<br>object<br>concept<br><b>believe</b><br><b>agent</b><br><b>epistemic</b>,"[0, 5]","['object', 'experience', 'kant', 'concept', 'belief', 'epistemic', 'agent', 'believe']",0,0.689145565032959,mix_0_5_closest,"['object', 'experience', 'kant', 'concept']","['belief', 'epistemic', 'agent', 'believe']",NMF_10
33,216871396,,<b>system</b><br>model<br>represent<br><b>level</b><br>use<br><b>behavior</b><br><b>state</b><br>simulation,"[15, 29]","['system', 'level', 'state', 'behavior', 'model', 'use', 'represent', 'simulation']",0,0.7060441374778748,mix_15_29_closest,"['system', 'level', 'state', 'behavior']","['model', 'use', 'represent', 'simulation']",LDA_54
34,216871397,,<b>cause</b><br><b>causation</b><br>knowledge<br><b>law</b><br>epistemic<br>justification<br><b>causal</b><br>belief,"[4, 6]","['causal', 'causation', 'cause', 'law', 'belief', 'epistemic', 'justification', 'knowledge']",0,0.6861698627471924,mix_4_6_closest,"['causal', 'causation', 'cause', 'law']","['belief', 'epistemic', 'justification', 'knowledge']",CFMF-emb_10
35,216871398,,<b>nominalist</b><br><b>indispensability</b><br>fictionalist<br>platonist<br>colyvan<br><b>nominalistic</b><br><b>nominalistically</b><br>fictionalism,[24],"['nominalistic', 'indispensability', 'nominalistically', 'nominalist', 'colyvan', 'platonist', 'fictionalist', 'fictionalism']",-1,1.0,single,"['nominalistic', 'indispensability', 'nominalistically', 'nominalist']","['colyvan', 'platonist', 'fictionalist', 'fictionalism']",Top2Vec_25
36,216871399,,hypothesis<br><b>measure</b><br><b>probability</b><br>degree<br><b>value</b><br>case<br><b>evidence</b><br>chance,[2],"['probability', 'value', 'measure', 'evidence', 'hypothesis', 'case', 'degree', 'chance']",-1,1.0,single,"['probability', 'value', 'measure', 'evidence']","['hypothesis', 'case', 'degree', 'chance']",LDA_25
37,216871400,,explanandum<br><b>schlick</b><br>hempel<br><b>carnap</b><br><b>neurath</b><br><b>language</b><br>explanatory<br>explanation,"[27, 42]","['explanation', 'hempel', 'explanatory', 'explanandum', 'carnap', 'neurath', 'schlick', 'language']",0,0.7922521233558655,mix_27_42_closest,"['explanation', 'hempel', 'explanatory', 'explanandum']","['carnap', 'neurath', 'schlick', 'language']",CFMF_50
38,216871401,,realist<br><b>russell</b><br>world<br><b>false</b><br><b>true</b><br>truth<br><b>proposition</b><br>realism,"[42, 15]","['realist', 'realism', 'truth', 'world', 'proposition', 'false', 'true', 'russell']",0,0.7750512361526489,mix_42_15_closest,"['realist', 'realism', 'truth', 'world']","['proposition', 'false', 'true', 'russell']",NMF_50
39,216871402,,model<br>simulation<br>target<br>representation<br><b>hempel</b><br><b>explanandum</b><br><b>explanatory</b><br><b>explanation</b>,"[13, 27]","['model', 'simulation', 'representation', 'target', 'explanation', 'hempel', 'explanatory', 'explanandum']",0,0.7463899850845337,mix_13_27_closest,"['model', 'simulation', 'representation', 'target']","['explanation', 'hempel', 'explanatory', 'explanandum']",CFMF_50
40,216871403,,measurement<br><b>quantum</b><br>spin<br><b>wave</b><br><b>particle</b><br><b>energy</b><br>operator<br>mechanic,"[17, 24]","['particle', 'quantum', 'energy', 'wave', 'spin', 'measurement', 'operator', 'mechanic']",0,0.8258045315742493,mix_17_24_closest,"['particle', 'quantum', 'energy', 'wave']","['spin', 'measurement', 'operator', 'mechanic']",CFMF_25
41,216871404,,social<br>society<br><b>popper</b><br><b>lakatos</b><br>science<br><b>laudan</b><br>sociology<br><b>rationality</b>,"[7, 16]","['social', 'science', 'society', 'sociology', 'laudan', 'popper', 'lakatos', 'rationality']",0,0.7482129335403442,mix_7_16_closest,"['social', 'science', 'society', 'sociology']","['laudan', 'popper', 'lakatos', 'rationality']",CFMF-emb_51
42,216871405,,theory<br><b>relativity</b><br><b>point</b><br>particle<br><b>time</b><br><b>space</b><br>quantum<br>state,"[5, 6]","['quantum', 'state', 'particle', 'theory', 'time', 'space', 'relativity', 'point']",0,0.7351412773132324,mix_5_6_closest,"['quantum', 'state', 'particle', 'theory']","['time', 'space', 'relativity', 'point']",BERTopic_10
43,216871406,,<b>motion</b><br>particle<br>mechanic<br>quantum<br><b>galileo</b><br><b>newton</b><br><b>kant</b><br>measurement,"[8, 4]","['quantum', 'particle', 'measurement', 'mechanic', 'kant', 'newton', 'motion', 'galileo']",0,0.7115777730941772,mix_8_4_closest,"['quantum', 'particle', 'measurement', 'mechanic']","['kant', 'newton', 'motion', 'galileo']",CFMF_10
44,216871408,,explanation<br><b>paribus</b><br><b>ceteris</b><br>explanandum<br><b>regularity</b><br>hempel<br>explanatory<br><b>law</b>,"[13, 33]","['law', 'ceteris', 'paribus', 'regularity', 'explanation', 'explanatory', 'hempel', 'explanandum']",0,0.7935648560523987,mix_13_33_closest,"['law', 'ceteris', 'paribus', 'regularity']","['explanation', 'explanatory', 'hempel', 'explanandum']",CFMF-emb_51
45,216871409,,testimony<br><b>epistemic</b><br><b>doxastic</b><br><b>justification</b><br>justified<br><b>belief</b><br>knowledge<br>cognitive,[46],"['belief', 'epistemic', 'justification', 'doxastic', 'knowledge', 'testimony', 'justified', 'cognitive']",-1,1.0,single,"['belief', 'epistemic', 'justification', 'doxastic']","['knowledge', 'testimony', 'justified', 'cognitive']",CFMF_50
46,216871410,,<b>cause</b><br>intervention<br><b>causation</b><br><b>causal</b><br>effect<br>correlation<br>causally<br><b>variable</b>,[7],"['causal', 'cause', 'causation', 'variable', 'intervention', 'effect', 'causally', 'correlation']",-1,1.0,single,"['causal', 'cause', 'causation', 'variable']","['intervention', 'effect', 'causally', 'correlation']",NMF_50
47,216871411,,<b>object</b><br>exist<br><b>relation</b><br><b>world</b><br>identity<br>thing<br>entity<br><b>property</b>,[7],"['world', 'object', 'relation', 'property', 'exist', 'identity', 'entity', 'thing']",-1,1.0,single,"['world', 'object', 'relation', 'property']","['exist', 'identity', 'entity', 'thing']",LDA_54
48,216871412,,<b>use</b><br><b>datum</b><br>hypothesis<br><b>experiment</b><br>evidence<br><b>test</b><br>experimental<br>result,[0],"['experiment', 'datum', 'test', 'use', 'result', 'hypothesis', 'experimental', 'evidence']",-1,1.0,single,"['experiment', 'datum', 'test', 'use']","['result', 'hypothesis', 'experimental', 'evidence']",LDA_25
