id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
216476299,,truth<br>scientific<br><b>realism</b><br>successful<br><b>success</b><br>true<br><b>realist</b><br><b>theory</b>,[27],"['theory', 'success', 'realist', 'realism', 'successful', 'scientific', 'truth', 'true']",-1,1.0,single,"['theory', 'success', 'realist', 'realism']","['successful', 'scientific', 'truth', 'true']",BERTopic_54
216476300,,<b>scientific</b><br>kuhn<br><b>theory</b><br>philosophy<br><b>science</b><br><b>research</b><br>social<br>scientist,[3],"['science', 'scientific', 'theory', 'research', 'social', 'scientist', 'philosophy', 'kuhn']",-1,1.0,single,"['science', 'scientific', 'theory', 'research']","['social', 'scientist', 'philosophy', 'kuhn']",BERTopic_25
216476301,,<b>realist</b><br>spiritual<br>philosophic<br>conscience<br>mankind<br><b>antirealists</b><br><b>psillos</b><br><b>pessimistic</b>,"[0, 9]","['conscience', 'philosophic', 'spiritual', 'mankind', 'realist', 'pessimistic', 'psillos', 'antirealists']",0,0.7503031492233276,mix_0_9_closest,"['conscience', 'philosophic', 'spiritual', 'mankind']","['realist', 'pessimistic', 'psillos', 'antirealists']",Top2Vec_10
216476302,,jeffrey<br><b>hypothesis</b><br>probability<br><b>statistical</b><br>bayesian<br><b>frequency</b><br><b>distribution</b><br>credence,"[14, 6]","['bayesian', 'probability', 'credence', 'jeffrey', 'distribution', 'frequency', 'statistical', 'hypothesis']",0,0.8176810145378113,mix_14_6_closest,"['bayesian', 'probability', 'credence', 'jeffrey']","['distribution', 'frequency', 'statistical', 'hypothesis']",CFMF_50
216476303,,<b>explanation</b><br>chemistry<br><b>law</b><br>molecule<br>entropy<br>chemical<br><b>model</b><br><b>reduction</b>,"[9, 2]","['entropy', 'chemical', 'molecule', 'chemistry', 'law', 'explanation', 'model', 'reduction']",0,0.7088935971260071,mix_9_2_closest,"['entropy', 'chemical', 'molecule', 'chemistry']","['law', 'explanation', 'model', 'reduction']",CFMF_25
216476304,,wave<br><b>mechanic</b><br><b>quantum</b><br>energy<br>field<br><b>state</b><br><b>measurement</b><br>particle,"[2, 13]","['particle', 'wave', 'energy', 'field', 'quantum', 'measurement', 'state', 'mechanic']",0,0.7653546929359436,mix_2_13_closest,"['particle', 'wave', 'energy', 'field']","['quantum', 'measurement', 'state', 'mechanic']",NMF_50
216476305,,mechanistic<br><b>gene</b><br>functional<br>teleological<br><b>fitness</b><br><b>selection</b><br>mechanism<br><b>population</b>,"[34, 38]","['mechanism', 'teleological', 'mechanistic', 'functional', 'selection', 'fitness', 'population', 'gene']",0,0.8052160739898682,mix_34_38_closest,"['mechanism', 'teleological', 'mechanistic', 'functional']","['selection', 'fitness', 'population', 'gene']",CFMF-emb_51
216476306,,computing<br><b>pancomputationalism</b><br><b>hypercomputation</b><br>computer<br><b>digital</b><br><b>computation</b><br>turing<br>machine,[15],"['turing', 'machine', 'computer', 'computing', 'digital', 'computation', 'pancomputationalism', 'hypercomputation']",-1,1.0,single,"['turing', 'machine', 'computer', 'computing']","['digital', 'computation', 'pancomputationalism', 'hypercomputation']",Top2Vec_48
216476308,,morality<br><b>ethic</b><br>emotion<br><b>judgment</b><br><b>ethical</b><br><b>emotional</b><br>morally<br>moral,[40],"['moral', 'emotion', 'morality', 'morally', 'ethic', 'judgment', 'ethical', 'emotional']",-1,1.0,single,"['moral', 'emotion', 'morality', 'morally']","['ethic', 'judgment', 'ethical', 'emotional']",CFMF_50
216476309,,<b>scientific</b><br>science<br>kuhn<br><b>popper</b><br><b>theory</b><br>change<br><b>problem</b><br>scientist,[13],"['theory', 'scientific', 'problem', 'popper', 'science', 'kuhn', 'scientist', 'change']",-1,1.0,single,"['theory', 'scientific', 'problem', 'popper']","['science', 'kuhn', 'scientist', 'change']",LDA_54
216476310,,object<br><b>supervenience</b><br><b>physical</b><br>physicalism<br><b>property</b><br><b>mental</b><br>relation<br>disposition,[17],"['property', 'supervenience', 'mental', 'physical', 'object', 'disposition', 'relation', 'physicalism']",-1,1.0,single,"['property', 'supervenience', 'mental', 'physical']","['object', 'disposition', 'relation', 'physicalism']",NMF_50
216476311,,<b>observable</b><br>unobservables<br><b>empiricist</b><br>unobservable<br><b>van</b><br>fraassen<br><b>alspector</b><br>observability,[37],"['fraassen', 'unobservables', 'unobservable', 'observability', 'observable', 'alspector', 'empiricist', 'van']",-1,1.0,single,"['fraassen', 'unobservables', 'unobservable', 'observability']","['observable', 'alspector', 'empiricist', 'van']",Top2Vec_48
216476312,,<b>target</b><br><b>model</b><br><b>simulation</b><br>mechanism<br>representation<br><b>climate</b><br>system<br>cognitive,"[6, 49]","['model', 'simulation', 'target', 'climate', 'cognitive', 'mechanism', 'system', 'representation']",0,0.7135634422302246,mix_6_49_closest,"['model', 'simulation', 'target', 'climate']","['cognitive', 'mechanism', 'system', 'representation']",NMF_50
216476313,,geometry<br>space<br><b>metric</b><br><b>poincare</b><br><b>reichenbach</b><br><b>euclid</b><br>euclidean<br>geometrical,[8],"['geometry', 'euclidean', 'space', 'geometrical', 'poincare', 'metric', 'reichenbach', 'euclid']",-1,1.0,single,"['geometry', 'euclidean', 'space', 'geometrical']","['poincare', 'metric', 'reichenbach', 'euclid']",CFMF_50
216476314,,<b>formula</b><br><b>contraction</b><br>belief<br><b>set</b><br>agent<br>model<br><b>state</b><br>revision,[20],"['belief', 'agent', 'revision', 'model', 'set', 'state', 'contraction', 'formula']",-1,1.0,single,"['belief', 'agent', 'revision', 'model']","['set', 'state', 'contraction', 'formula']",BERTopic_25
216476315,,<b>argument</b><br><b>claim</b><br>rule<br><b>argue</b><br>conclusion<br>inference<br><b>view</b><br>premise,"[16, 43]","['claim', 'argument', 'view', 'argue', 'premise', 'rule', 'inference', 'conclusion']",0,0.7990492582321167,mix_16_43_closest,"['claim', 'argument', 'view', 'argue']","['premise', 'rule', 'inference', 'conclusion']",LDA_54
216476316,,<b>reasoning</b><br><b>induction</b><br>inference<br>conclusion<br>argument<br><b>inductive</b><br><b>premise</b><br>rule,[43],"['argument', 'rule', 'inference', 'conclusion', 'premise', 'inductive', 'reasoning', 'induction']",-1,1.0,single,"['argument', 'rule', 'inference', 'conclusion']","['premise', 'inductive', 'reasoning', 'induction']",LDA_54
216476317,,machine<br><b>information</b><br><b>representation</b><br><b>content</b><br>mechanism<br>system<br>cognitive<br><b>function</b>,"[19, 31]","['mechanism', 'cognitive', 'system', 'machine', 'information', 'function', 'representation', 'content']",0,0.7135417461395264,mix_19_31_closest,"['mechanism', 'cognitive', 'system', 'machine']","['information', 'function', 'representation', 'content']",LDA_54
216476318,,<b>social</b><br><b>scientist</b><br><b>science</b><br>laudan<br>kuhn<br>scientific<br>popper<br><b>research</b>,"[23, 20]","['social', 'science', 'research', 'scientist', 'kuhn', 'popper', 'scientific', 'laudan']",0,0.7403331398963928,mix_23_20_closest,"['social', 'science', 'research', 'scientist']","['kuhn', 'popper', 'scientific', 'laudan']",CFMF-emb_24
216476319,,<b>cognitive</b><br>object<br>representation<br><b>mental</b><br><b>experience</b><br>perception<br><b>state</b><br>content,[13],"['experience', 'cognitive', 'state', 'mental', 'object', 'representation', 'content', 'perception']",-1,1.0,single,"['experience', 'cognitive', 'state', 'mental']","['object', 'representation', 'content', 'perception']",LDA_25
216476320,,judea<br><b>probability</b><br>spirtes<br><b>bayesian</b><br><b>bayesians</b><br>intervention<br><b>bayes</b><br>scheines,"[0, 16]","['bayesians', 'probability', 'bayes', 'bayesian', 'spirtes', 'intervention', 'scheines', 'judea']",0,0.7733420133590698,mix_0_16_closest,"['bayesians', 'probability', 'bayes', 'bayesian']","['spirtes', 'intervention', 'scheines', 'judea']",Top2Vec_25
216476321,,<b>realism</b><br><b>scientific</b><br>generalization<br>statement<br>law<br><b>realist</b><br><b>theory</b><br>nature,"[24, 10]","['law', 'nature', 'generalization', 'statement', 'theory', 'realist', 'realism', 'scientific']",0,0.7516905069351196,mix_24_10_closest,"['law', 'nature', 'generalization', 'statement']","['theory', 'realist', 'realism', 'scientific']",BERTopic_25
